Pais,Anios,tasaCrecimiento
Bolivia,2013,5.24
Bolivia,2014,3.11
Bolivia,2015,4.16
Bolivia,2016,2.88
Bolivia,2017,0.45
Bolivia,2018,-2.39
Bolivia,2019,-2.72
Bolivia,2020,-4.44
Bolivia,2021,-4.84
Bolivia,2022,-0.26
Bolivia,2023,0.49
Bolivia,2024,-0.65
Suriname,2000,-2.97
Suriname,2001,-1.04
Suriname,2002,-2.24
Suriname,2003,1.31
Suriname,2004,4.28
Suriname,2005,1.86
Suriname,2006,3.16
Suriname,2007,2.54
Suriname,2008,1.47
Suriname,2009,0.4
Suriname,2010,0.83
Suriname,2011,3.61
Suriname,2012,0.67
Suriname,2013,-1.34
Suriname,2014,-1.99
Suriname,2015,-5.63
Suriname,2016,-6.66
Suriname,2017,-0.09
Suriname,2018,2.85
Suriname,2019,-0.51
Suriname,2020,-11.82
Suriname,2021,-4.87
Suriname,2022,0.67
Suriname,2023,0.11
Suriname,2024,1.37
Brasil,2000,1.51
Brasil,2001,-1.35
Brasil,2002,-0.46
Brasil,2003,-0.12
Brasil,2004,1.82
Brasil,2005,0.87
Brasil,2006,1.72
Brasil,2007,4.48
Brasil,2008,2.47
Brasil,2009,-0.74
Brasil,2010,6.79
Brasil,2011,3.54
Brasil,2012,0.82
Brasil,2013,1.49
Brasil,2014,-0.8
Brasil,2015,-3.31
Brasil,2016,-1.22
Brasil,2017,1.15
Brasil,2018,0.2
Brasil,2019,-0.85
Brasil,2020,4.88
Brasil,2021,0.03
Brasil,2022,-3.77
Brasil,2023,1.72
Brasil,2024,2.28
Trinidad y Tabago,2000,3.96
Trinidad y Tabago,2001,1.02
Trinidad y Tabago,2002,5.63
Trinidad y Tabago,2003,10.82
Trinidad y Tabago,2004,2.14
Trinidad y Tabago,2005,2.67
Trinidad y Tabago,2006,9.81
Trinidad y Tabago,2007,3.74
Trinidad y Tabago,2008,1.71
Trinidad y Tabago,2009,-3.27
Trinidad y Tabago,2010,2.91
Trinidad y Tabago,2011,-0.13
Trinidad y Tabago,2012,5.49
Trinidad y Tabago,2013,1.55
Trinidad y Tabago,2014,2.48
Trinidad y Tabago,2015,-0.2
Trinidad y Tabago,2016,-5.94
Trinidad y Tabago,2017,-4.59
Trinidad y Tabago,2018,-1.89
Trinidad y Tabago,2019,-0.08
Trinidad y Tabago,2020,-5.09
Trinidad y Tabago,2021,0.24
Trinidad y Tabago,2022,-0.68
Trinidad y Tabago,2023,0.48
Trinidad y Tabago,2024,2.04
Belice,2000,4.91
Belice,2001,-1.29
Belice,2002,2.31
Belice,2003,5.71
Belice,2004,0.95
Belice,2005,-1.38
Belice,2006,-1.19
Belice,2007,-1.59
Belice,2008,-5.58
Belice,2009,-4
Belice,2010,-2.46
Belice,2011,-4
Belice,2012,-0.14
Belice,2013,0.71
Belice,2014,-0.73
Belice,2015,-1.28
Belice,2016,-4.51
Belice,2017,-5.08
Belice,2018,-4.5
Belice,2019,-0.8
Belice,2020,-6.76
Belice,2021,19.86
Belice,2022,4.65
Belice,2023,-2.58
Belice,2024,2.03
Islas Vírgenes de los Estados Unidos,2000,0.51
