Source,Indicator,Country,Administrative level,Year,Value ,Category,valuetype
Household Survey Indicators,Early school dropout rate,Argentina,National,2019,0.207051575,Total,pct
Household Survey Indicators,Net attendance rate in primary education,Argentina,National,2019,0.991351077,Total,pct
Household Survey Indicators,Net attendance rate in secondary education,Argentina,National,2019,0.896618645,Total,pct
Household Survey Indicators,Net attendance rate in tertiary education,Argentina,National,2019,0.4998722,Total,pct
Household Survey Indicators,"Percentage of young people between 15 and 24 years old who are ""Not in Employment, Education or Training"" (NEET)",Argentina,National,2019,0.185850835,Total,pct
Household Survey Indicators,Completion rate in primary education,Argentina,National,2020,0.978329429,Total,pct
Household Survey Indicators,Completion rate in secondary education,Argentina,National,2020,0.679100952,Total,pct
Household Survey Indicators,Early school dropout rate,Argentina,National,2020,0.237754761,Total,pct
Household Survey Indicators,Net attendance rate in primary education,Argentina,National,2020,0.991521767,Total,pct
Household Survey Indicators,Net attendance rate in secondary education,Argentina,National,2020,0.897072991,Total,pct
Household Survey Indicators,Net attendance rate in tertiary education,Argentina,National,2020,0.47279733,Total,pct
Household Survey Indicators,"Percentage of young people between 15 and 24 years old who are ""Not in Employment, Education or Training"" (NEET)",Argentina,National,2020,0.227893252,Total,pct
Household Survey Indicators,Completion rate in primary education,Argentina,National,2021,0.992642767,Total,pct
Household Survey Indicators,Completion rate in secondary education,Argentina,National,2021,0.713445126,Total,pct
Household Survey Indicators,Early school dropout rate,Argentina,National,2021,0.177841898,Total,pct
Household Survey Indicators,Net attendance rate in primary education,Argentina,National,2021,0.990697248,Total,pct
Household Survey Indicators,Net attendance rate in secondary education,Argentina,National,2021,0.908425775,Total,pct
Household Survey Indicators,Net attendance rate in tertiary education,Argentina,National,2021,0.54680592,Total,pct
Household Survey Indicators,"Percentage of young people between 15 and 24 years old who are ""Not in Employment, Education or Training"" (NEET)",Argentina,National,2021,0.154799234,Total,pct
Household Survey Indicators,Completion rate in primary education,Argentina,National,2022,0.993200105,Total,pct
Household Survey Indicators,Completion rate in secondary education,Argentina,National,2022,0.768309306,Total,pct
Household Survey Indicators,Early school dropout rate,Argentina,National,2022,0.168114469,Total,pct
Household Survey Indicators,Net attendance rate in primary education,Argentina,National,2022,0.995537112,Total,pct
Household Survey Indicators,Net attendance rate in secondary education,Argentina,National,2022,0.914746541,Total,pct
Household Survey Indicators,Net attendance rate in tertiary education,Argentina,National,2022,0.5110814,Total,pct
Household Survey Indicators,"Percentage of young people between 15 and 24 years old who are ""Not in Employment, Education or Training"" (NEET)",Argentina,National,2022,0.152144542,Total,pct
Household Survey Indicators,Completion rate in primary education,Argentina,National,2023,0.984735774,Total,pct
Household Survey Indicators,Completion rate in secondary education,Argentina,National,2023,0.767329961,Total,pct
Household Survey Indicators,Early school dropout rate,Argentina,National,2023,0.15328513,Total,pct
Household Survey Indicators,Net attendance rate in primary education,Argentina,National,2023,0.994946456,Total,pct
Household Survey Indicators,Net attendance rate in secondary education,Argentina,National,2023,0.898215582,Total,pct
Household Survey Indicators,Net attendance rate in tertiary education,Argentina,National,2023,0.528794784,Total,pct
Household Survey Indicators,"Percentage of young people between 15 and 24 years old who are ""Not in Employment, Education or Training"" (NEET)",Argentina,National,2023,0.1440489,Total,pct
Household Survey Indicators,Completion rate in primary education,Argentina,National,2024,0.990838647,Total,pct
Household Survey Indicators,Completion rate in secondary education,Argentina,National,2024,0.759605862,Total,pct
Household Survey Indicators,Early school dropout rate,Argentina,National,2024,0.165247257,Total,pct
Household Survey Indicators,Net attendance rate in primary education,Argentina,National,2024,0.992442331,Total,pct
Household Survey Indicators,Net attendance rate in secondary education,Argentina,National,2024,0.905767755,Total,pct
Household Survey Indicators,Net attendance rate in tertiary education,Argentina,National,2024,0.502822333,Total,pct
Household Survey Indicators,"Percentage of young people between 15 and 24 years old who are ""Not in Employment, Education or Training"" (NEET)",Argentina,National,2024,0.154078735,Total,pct
Household Survey Indicators,Completion rate in primary education,Bahamas,National,2015,0.952448016,Total,pct
Household Survey Indicators,Completion rate in secondary education,Bahamas,National,2015,0.099299054,Total,pct
Household Survey Indicators,Completion rate in primary education,Bahamas,National,2016,0.975660629,Total,pct
Household Survey Indicators,Completion rate in secondary education,Bahamas,National,2016,0.106110651,Total,pct
Household Survey Indicators,Completion rate in primary education,Bahamas,National,2017,0.985096609,Total,pct
Household Survey Indicators,Completion rate in secondary education,Bahamas,National,2017,0.076692752,Total,pct
Household Survey Indicators,Completion rate in primary education,Bahamas,National,2018,0.976666042,Total,pct
Household Survey Indicators,Completion rate in secondary education,Bahamas,National,2018,0.102597055,Total,pct
Household Survey Indicators,Completion rate in primary education,Bahamas,National,2019,0.982994658,Total,pct
Household Survey Indicators,Completion rate in secondary education,Bahamas,National,2019,0.079948898,Total,pct
