Pais,Anio,Escolaridad,Relacion_salarial
Venezuela,2002,10 a 12 años,80.6
Venezuela,2002,13 años y más,82.6
Venezuela,2002,6 a 9 años,79.1
Venezuela,2002,Total,96.7
Venezuela,2003,0 a 5 años,79.8
Venezuela,2003,10 a 12 años,79.9
Venezuela,2003,13 años y más,77.6
Venezuela,2003,6 a 9 años,75.1
Venezuela,2003,Total,91.6
Venezuela,2004,0 a 5 años,72.9
Venezuela,2004,10 a 12 años,84.2
Venezuela,2004,13 años y más,81.5
Venezuela,2004,6 a 9 años,80.5
Venezuela,2004,Total,94.4
Venezuela,2005,0 a 5 años,70
Venezuela,2005,10 a 12 años,81
Venezuela,2005,13 años y más,86.3
Venezuela,2005,6 a 9 años,77.8
Venezuela,2005,Total,96.1
Venezuela,2006,0 a 5 años,72.6
Venezuela,2006,10 a 12 años,82.5
Venezuela,2006,13 años y más,78.6
Venezuela,2006,6 a 9 años,75.3
Venezuela,2006,Total,91.3
Venezuela,2007,0 a 5 años,85.9
Venezuela,2007,10 a 12 años,78.6
Venezuela,2007,13 años y más,85.3
Venezuela,2007,6 a 9 años,81.4
Venezuela,2007,Total,94.2
Venezuela,2008,0 a 5 años,81.2
Venezuela,2008,10 a 12 años,81.2
Venezuela,2008,13 años y más,83.9
Venezuela,2008,6 a 9 años,78.1
Venezuela,2008,Total,92.4
Venezuela,2009,0 a 5 años,88.3
Venezuela,2009,10 a 12 años,82.3
Venezuela,2009,13 años y más,86.7
Venezuela,2009,6 a 9 años,78
Venezuela,2009,Total,94.7
Venezuela,2010,0 a 5 años,84.1
Venezuela,2010,10 a 12 años,82.1
Venezuela,2010,13 años y más,87.8
Venezuela,2010,6 a 9 años,80
Venezuela,2010,Total,94
Venezuela,2011,0 a 5 años,79.7
Venezuela,2011,10 a 12 años,87.9
Venezuela,2011,13 años y más,86.4
Venezuela,2011,6 a 9 años,78.5
Venezuela,2011,Total,95.6
Venezuela,2012,0 a 5 años,90.7
Venezuela,2012,10 a 12 años,84.8
Venezuela,2012,13 años y más,89.4
Venezuela,2012,6 a 9 años,81
Venezuela,2012,Total,95.1
Venezuela,2013,0 a 5 años,77.4
Venezuela,2013,10 a 12 años,84.5
Venezuela,2013,13 años y más,89.4
Venezuela,2013,6 a 9 años,81.1
Venezuela,2013,Total,95.1
Venezuela,2014,0 a 5 años,97.8
Venezuela,2014,10 a 12 años,83.4
Venezuela,2014,13 años y más,87.3
Venezuela,2014,6 a 9 años,85.5
Venezuela,2014,Total,93.8
América Latina,2000,0 a 5 años,79.7
América Latina,2000,10 a 12 años,78.7
América Latina,2000,13 años y más,70
América Latina,2000,6 a 9 años,74.5
América Latina,2000,Total,81.4
América Latina,2001,0 a 5 años,74.9
América Latina,2001,10 a 12 años,78.3
América Latina,2001,13 años y más,71.7
América Latina,2001,6 a 9 años,74.6
América Latina,2001,Total,83.2
América Latina,2002,0 a 5 años,77.9
América Latina,2002,10 a 12 años,78.8
América Latina,2002,13 años y más,71.8
América Latina,2002,6 a 9 años,74.8
América Latina,2002,Total,83.2
América Latina,2003,0 a 5 años,77.2
América Latina,2003,10 a 12 años,75.8
América Latina,2003,13 años y más,71.7
América Latina,2003,6 a 9 años,76.3
América Latina,2003,Total,82.3
América Latina,2004,0 a 5 años,76.8
América Latina,2004,10 a 12 años,75
América Latina,2004,13 años y más,73.2
América Latina,2004,6 a 9 años,75.1
América Latina,2004,Total,83.9
América Latina,2005,0 a 5 años,76
América Latina,2005,10 a 12 años,78.2
América Latina,2005,13 años y más,74.9
América Latina,2005,6 a 9 años,73.8
