ref_area.label,source.label,indicator.label,classif1.label,time,obs_value,obs_status.label,note_classif.label,note_indicator.label,note_source.label
Bolivia (Estado Plurinacional de),EFT - Encuesta Continua de Empleo,Brecha salarial de género según ocupación (%),Ocupación (Nivel de competencia): Niveles de competencia 3 y 4 ~ altos,2021,5.739,Ruptura de serie,,Moneda: BOL - Boliviano (BOB) | Ruptura en la serie: Metodología revisada,Repositorio: OIT-STATISTICS - Procesamiento de microdatos
Bolivia (Estado Plurinacional de),EFT - Encuesta Continua de Empleo,Brecha salarial de género según ocupación (%),Ocupación (Nivel de competencia): Nivel de competencia 2 ~ medio,2021,17.668,Ruptura de serie,,Moneda: BOL - Boliviano (BOB) | Ruptura en la serie: Metodología revisada,Repositorio: OIT-STATISTICS - Procesamiento de microdatos
Bolivia (Estado Plurinacional de),EFT - Encuesta Continua de Empleo,Brecha salarial de género según ocupación (%),Ocupación (Nivel de competencia): Nivel de competencia 1 ~ bajo,2021,17.508,Ruptura de serie,,Moneda: BOL - Boliviano (BOB) | Ruptura en la serie: Metodología revisada,Repositorio: OIT-STATISTICS - Procesamiento de microdatos
Bolivia (Estado Plurinacional de),EFT - Encuesta Continua de Empleo,Brecha salarial de género según ocupación (%),Ocupación (CIUO-08): 1. Directores y gerentes,2021,9.382,Ruptura de serie,,Moneda: BOL - Boliviano (BOB) | Ruptura en la serie: Metodología revisada,Repositorio: OIT-STATISTICS - Procesamiento de microdatos
Bolivia (Estado Plurinacional de),EFT - Encuesta Continua de Empleo,Brecha salarial de género según ocupación (%),Ocupación (CIUO-08): 2. Profesionales científicos e intelectuales,2021,10.564,Ruptura de serie,,Moneda: BOL - Boliviano (BOB) | Ruptura en la serie: Metodología revisada,Repositorio: OIT-STATISTICS - Procesamiento de microdatos
Bolivia (Estado Plurinacional de),EFT - Encuesta Continua de Empleo,Brecha salarial de género según ocupación (%),Ocupación (CIUO-08): 3. Técnicos y profesionales de nivel medio,2021,12.377,Ruptura de serie,,Moneda: BOL - Boliviano (BOB) | Ruptura en la serie: Metodología revisada,Repositorio: OIT-STATISTICS - Procesamiento de microdatos
Brasil,EH - Pesquisa Nacional por Amostra de Domicílios Contínua,Brecha salarial de género según ocupación (%),Ocupación (Nivel de competencia): Total,2025,9.983,,,Moneda: BRA - Real (BRL),Repositorio: OIT-STATISTICS - Procesamiento de microdatos
Brasil,EH - Pesquisa Nacional por Amostra de Domicílios Contínua,Brecha salarial de género según ocupación (%),Ocupación (Nivel de competencia): Niveles de competencia 3 y 4 ~ altos,2025,19.446,,,Moneda: BRA - Real (BRL),Repositorio: OIT-STATISTICS - Procesamiento de microdatos
Brasil,EH - Pesquisa Nacional por Amostra de Domicílios Contínua,Brecha salarial de género según ocupación (%),Ocupación (Nivel de competencia): Nivel de competencia 2 ~ medio,2025,16.013,,,Moneda: BRA - Real (BRL),Repositorio: OIT-STATISTICS - Procesamiento de microdatos
Brasil,EH - Pesquisa Nacional por Amostra de Domicílios Contínua,Brecha salarial de género según ocupación (%),Ocupación (Nivel de competencia): Nivel de competencia 1 ~ bajo,2025,-6.295,,,Moneda: BRA - Real (BRL),Repositorio: OIT-STATISTICS - Procesamiento de microdatos
